time [ms]	Pressure [Hgmm]	illuminance [lux]
13.95 	 49.40 	 -0.72
13.97 	 52.80 	 -0.40
14.00 	 48.70 	 -0.14
14.03 	 52.60 	 0.00
14.05 	 49.70 	 0.02
14.07 	 54.30 	 -0.06
14.10 	 50.50 	 -0.18
14.12 	 54.30 	 -0.29
14.15 	 51.60 	 -0.31
14.18 	 55.00 	 -0.22
14.20 	 52.30 	 0.02
14.22 	 54.50 	 0.38
14.25 	 52.60 	 0.80
14.28 	 54.40 	 1.21
14.30 	 53.40 	 1.52
14.32 	 53.30 	 1.63
14.35 	 52.90 	 1.52
14.38 	 55.80 	 1.18
14.40 	 52.60 	 0.67
14.43 	 57.30 	 0.08
14.45 	 53.60 	 -0.49
14.47 	 56.60 	 -0.92
14.50 	 55.00 	 -1.15
14.53 	 54.90 	 -1.18
14.55 	 54.70 	 -1.05
14.57 	 54.20 	 -0.84
14.60 	 57.10 	 -0.63
14.62 	 53.70 	 -0.45
14.65 	 57.40 	 -0.32
14.68 	 53.40 	 -0.25
14.70 	 57.20 	 -0.22
14.72 	 54.20 	 -0.22
14.75 	 58.80 	 -0.20
14.78 	 54.90 	 -0.13
14.80 	 58.60 	 0.01
14.82 	 56.20 	 0.22
14.85 	 56.20 	 0.46
14.88 	 55.80 	 0.71
14.90 	 59.80 	 0.93
14.93 	 56.40 	 1.11
14.95 	 58.40 	 1.23
14.97 	 56.00 	 1.25
15.00 	 59.60 	 1.14
15.03 	 56.00 	 0.88
15.05 	 61.20 	 0.49
15.07 	 58.40 	 0.04
15.10 	 58.50 	 -0.39
15.12 	 58.50 	 -0.71
15.15 	 58.50 	 -0.89
15.18 	 58.30 	 -0.92
15.20 	 57.90 	 -0.83
15.22 	 60.00 	 -0.66
15.25 	 57.70 	 -0.49
15.28 	 61.50 	 -0.36
15.30 	 57.20 	 -0.33
15.32 	 61.30 	 -0.40
15.35 	 57.70 	 -0.54
15.38 	 61.50 	 -0.68
15.40 	 57.70 	 -0.76
15.43 	 61.40 	 -0.73
15.45 	 57.20 	 -0.59
15.47 	 60.70 	 -0.35
15.50 	 56.80 	 -0.05
15.53 	 61.50 	 0.27
15.55 	 58.30 	 0.59
